year,country_code,gdp_usd,gdp_per_capita,fdi_pct_gdp,inflation_rate,unemployment_rate,real_economic_growth_indicator
2013,BRN,18093829923.2737,44740.8594244355,4.28677622365794,0.389205053123613,6.88000011444092,114954.4669714903
2014,BRN,17098342541.4365,41725.8675220155,3.35650199102938,-0.207108731719878,6.96999979019165,-201468.41311573103
2015,BRN,12930394937.8137,31164.0362528468,1.32470174845995,-0.488347420743486,7.78499984741211,-63815.29814450749
2016,BRN,11400854267.7188,27158.4056535724,-1.32052233784439,-0.278693265753062,8.38300037384033,-97449.0918543984
2017,BRN,12128104859.1498,28571.608291419,3.85820831655778,-1.26050564628963,9.31999969482422,-22666.78326711281
2018,BRN,13567351175.0315,31628.4762566009,3.80474135275375,1.02505179290213,8.69999980926514,30855.490888957185
2019,BRN,13469422958.5105,31085.9619255901,2.77114148390794,-0.390522069165492,6.92000007629395,-79601.03763666366
2020,BRN,12005825769.5087,27442.95382794,4.71056540621842,1.94031996607178,7.68200016021729,14143.519784264685
2000,CHN,1211346869600.41,959.372483635864,3.4750822457556,0.347811226864599,3.25999999046326,2758.313733240539
2001,CHN,1339395718862.89,1053.10824300262,3.51300212008642,0.719125609120107,3.79999995231628,1464.4287863578666
2002,CHN,1470550015077.93,1148.50829043887,3.60909988461638,-0.731970902350276,4.23999977111816,-1569.062768412159
2003,CHN,1660287965663.89,1288.64325183475,3.48740330983691,1.12760348729636,4.57999992370605,1142.8159511323547
2004,CHN,1955347004965.69,1508.66809788453,3.48364111373749,3.82463743108159,4.48999977111816,394.4604227381327
2005,CHN,2285965892364.2,1753.41782926104,4.55425403392231,1.77641407667574,4.51999998092651,987.0546807095036
2006,CHN,2752131773358.92,2099.22943460734,4.50857901571575,1.64943099455862,4.42999982833862,1272.6991559711073
2007,CHN,3550342737009.53,2693.97006340427,4.40096483008318,4.81676767378831,4.34999990463257,559.2900147674148
2008,CHN,4594307032667.98,3468.30460207977,3.73363488969862,5.92525137041095,4.59000015258789,585.3430319259558
2009,CHN,5101703073088.97,3832.23643246922,2.56888829067325,-0.728165250932952,4.71999979019165,-5262.866399569628
2010,CHN,6087163874510.73,4550.45310775599,4.0035629002639,3.17532475269199,4.53000020980835,1433.0669969735184
2011,CHN,7551500124197.17,5614.35213522114,3.7088289021211,5.55389892257492,4.55000019073486,1010.8848240648558
2012,CHN,8532229986993.65,6300.61511825789,2.82709055579985,2.61952432645544,4.57000017166138,2405.251615579936
2013,CHN,9570406235659.64,7020.33848453658,3.03987546926686,2.62105001748115,4.59000015258789,2678.445065036638
2014,CHN,10475682920597.7,7636.11660125502,2.55923344660606,1.92164162788521,4.6100001335144,3973.746452224112
2015,CHN,11061553079871.5,8016.43143498003,2.19218160303955,1.43702380935655,4.63000011444092,5578.495904371628
2016,CHN,11233276536744.7,8094.36336675194,1.55564214957618,2.00000182191941,4.53000020980835,4047.177996559896
2017,CHN,12310409370894.2,8816.98690451989,1.34913267883946,1.59313600071434,4.44000005722046,5534.359213881599
2018,CHN,13894817549380.3,9905.34200389253,1.69390529382545,2.07479039965578,4.28000020980835,4774.141043613796
2019,CHN,14279937467431.0,10143.8381719921,1.31071878144875,2.89923416358227,4.51999998092651,3498.7991999440487
2020,CHN,14722730697890.1,10434.7751874839,1.44318135726924,2.4194218945778,5.0,4312.92087207668
2000,FJI,1678239218.26553,2069.31745471458,0.0352378319008256,1.09216459977388,3.99200010299683,1894.6937624081645
2001,FJI,1652464201.00149,2030.24635131517,2.49941247291438,4.27267024465106,3.90700006484985,475.1703817669589
2002,FJI,1833279985.36741,2248.71419119053,1.67309841241215,0.762032085561215,3.87299990653992,2950.9442368616483
2003,FJI,2300453634.34962,2818.91392042135,1.75228459031929,4.17274777763033,3.90599989891052,675.5533932660048
2004,FJI,2708078476.63012,3311.15989532504,9.25370794256615,2.82748519391201,3.81100010871887,1171.0617981146115
2005,FJI,2980484920.16558,3627.63285585254,5.80281173569053,2.36576453830434,3.89000010490417,1533.3871131793371
2006,FJI,3076305452.86506,3715.93265705693,18.9830079707872,2.49083638787079,3.95900011062622,1491.8413249267542
2007,FJI,3378314599.76402,4040.15211916504,13.7414773077002,4.80370641306991,4.10799980163574,841.048925923659
2008,FJI,3523185919.55826,4167.69493510221,19.2785877551773,7.7322785791842,4.16200017929077,538.9995836831225
2009,FJI,2870624635.68032,3362.82049454372,10.7423905992561,3.13103559015968,4.30999994277954,1074.0281921778535
2010,FJI,3140508835.9485,3652.53593320954,5.67079237442896,3.68901229670766,4.30999994277954,990.112159959273
2011,FJI,3774530615.65916,4371.44738457557,5.75325908942983,7.27811782708491,4.40999984741211,600.6288285561402
2012,FJI,3972012570.53467,4591.57701506207,6.98169170080145,3.4233752340198,4.42000007629395,1341.2426921341437
2013,FJI,4190143206.25611,4840.72726987242,5.81800530522945,2.91354193604,4.3270001411438,1661.4579011180438
2014,FJI,4856963229.83999,5605.60914844185,7.77995126554542,0.519306474579103,4.28999996185303,10794.414132781973
2015,FJI,4682546863.08162,5390.71420703085,4.3859296045859,1.37488542621447,4.29500007629395,3920.8461332471393
2016,FJI,4930204229.72263,5651.27272132772,7.94327450047468,3.86322538221274,4.32000017166138,1462.837955907931
2017,FJI,5353404422.08138,6101.02388950081,7.24030046575013,3.34757834757835,4.27799987792969,1822.5186257147088
2018,FJI,5581371847.61641,6317.41372015123,8.40046167281378,4.08147637644538,4.33300018310547,1547.8256242299171
2019,FJI,5496264766.37285,6175.89065331713,5.86366996160044,1.7731018246027,4.44799995422363,3483.0998240616927
2020,FJI,4533883782.27458,5057.63191261761,5.27981636493376,-2.5952432588737,4.71500015258789,-1948.8084191431649
2000,FSM,233271800.0,2171.88957683534,,2.15851810619412,,1006.1947456464918
2001,FSM,240970900.0,2248.49211533078,,0.502497351294105,,4474.634760840297
2002,FSM,242517200.0,2265.94410756164,,-0.111442426432966,,-20332.86765273936
2003,FSM,245432900.0,2295.86817833156,,0.126643348208918,,18128.61244432804
2004,FSM,240236000.0,2253.1137454982,,2.27669698247305,,989.64146869065
2005,FSM,250281900.0,2358.1466999576,,4.25769978210942,,553.8546211892113
2006,FSM,253541900.0,2406.11441152466,,4.6373700858563,,518.8532221879734
2007,FSM,256787200.0,2458.65839413263,,3.30634278002699,,743.618722470318
2008,FSM,263145100.0,2541.26162493119,,8.42372566246186,,301.6790582646418
2009,FSM,280284600.0,2721.97609035554,0.0,6.39360257735202,,425.7343269970458
2010,FSM,296944100.0,2885.30549185744,0.0,3.31370963136216,,870.7176587078884
2011,FSM,311301600.0,3009.25682468487,0.0,5.08259403890365,,592.0710569546071
2012,FSM,327248700.0,3131.38671463839,0.0,5.01850353045626,,623.9682199354153
2013,FSM,317214400.0,2994.79239440343,0.0,1.75232737350739,,1709.0370439224323
2014,FSM,319271200.0,2971.51260191356,6.32982242056283,0.650284891768603,,4569.555035842569
2015,FSM,316489900.0,2906.61701228808,,-0.298115837381107,,-9749.958398125298
2016,FSM,332265200.0,3014.70035839042,,-1.03746806405332,,-2905.824731232866
2017,FSM,366666800.0,3289.64211697365,,0.689027978925107,,4774.322984830799
2018,FSM,401932300.0,3568.291015625,,1.79400375972253,,1989.0097756411003
2019,FSM,408057100.0,3585.39244888455,,,,
2020,FSM,410083600.0,3565.293294268,,,,
2000,GUM,,,,,15.3199996948242,
2001,GUM,,,,,13.210000038147,
2002,GUM,3394000000.0,21594.0396887506,,,11.3900003433228,
2003,GUM,3569000000.0,22628.278691123,,,9.75300025939941,
2004,GUM,3869000000.0,24472.7820157628,,,7.69999980926514,
2005,GUM,4213000000.0,26596.2147898438,,,7.0,
2006,GUM,4238000000.0,26713.0583867531,,,7.40000009536743,
2007,GUM,4397000000.0,27680.5499597099,,,8.30000019073486,
2008,GUM,4658000000.0,29288.7818557946,,,8.71599960327148,
2009,GUM,4828000000.0,30320.538585209,,,9.30000019073486,
2010,GUM,4949000000.0,31040.0842955613,,,8.19999980926514,
2011,GUM,4984000000.0,31210.4702861795,,,13.3000001907349,
2012,GUM,5265000000.0,32908.3067691731,,,12.1999998092651,
2013,GUM,5399000000.0,33656.4535735436,,,11.5,
2014,GUM,5610000000.0,34843.2055749129,,,7.59999990463257,
2015,GUM,5799000000.0,35829.2503598989,,,6.90000009536743,
2016,GUM,5901000000.0,36214.0069224538,,,5.40000009536743,
2017,GUM,6013000000.0,36601.9198811792,,,5.43499994277954,
2018,GUM,6060000000.0,36556.6749110213,,,5.55900001525879,
2019,GUM,6364000000.0,38040.5869870588,,,5.5149998664856,
2020,GUM,5844000000.0,34624.3401290414,,,6.80200004577637,
2000,HKG,171668164082.555,25756.6637783278,41.0651210039997,-3.6855036855037,4.92000007629395,-6988.641438519581
2001,HKG,169403241524.337,25230.2163329516,18.4717360559594,-1.65816326530608,5.09000015258789,-15215.76123464197
2002,HKG,166349228737.386,24665.8899982779,4.05643913833253,-2.98313878080416,7.28000020980835,-8268.435299422694
2003,HKG,161384522525.299,23977.0194516698,11.5050419796745,-2.67379679144392,7.8600001335144,-8967.405274924271
2004,HKG,169099768875.193,24928.1003722551,13.1249372796878,-0.274725274725266,6.73999977111816,-90738.28535501144
2005,HKG,181570082162.19,26649.750801707,22.5605048931489,0.826446280991805,5.57999992370605,32246.19847006276
2006,HKG,193536265094.364,28224.2150609389,23.2007132859484,2.00025160397535,4.76999998092651,14110.332422603928
2007,HKG,211597405593.868,30594.0178410231,29.3581158283685,2.03502713369511,4.01000022888184,15033.714948788847
2008,HKG,219279678430.164,31515.6627713018,30.5706338442194,4.30315484104919,3.55999994277954,7323.850508623037
2009,HKG,214046415026.187,30697.340383517,25.3569801987172,0.579441418472606,5.26000022888184,52977.4700338724
2010,HKG,228637697575.04,32549.998231121,36.1747620158536,2.29289088604677,4.32999992370605,14196.0519923568
2011,HKG,248513617677.287,35142.4879344543,38.684029536737,5.30524892993918,3.42000007629395,6624.097831891401
2012,HKG,262629441493.476,36730.8767001128,28.5143719894717,4.05390950903839,3.28999996185303,9060.605970167688
2013,HKG,275696879834.966,38403.7777145477,27.8775202185389,4.33799342105262,3.40000009536743,8852.889801116611
2014,HKG,291459356985.337,40315.2855640552,44.550793381462,4.42364532019706,3.29999995231628,9113.589052898862
2015,HKG,309383627028.561,42431.8882817277,58.5187499629812,2.99084819322578,3.30999994277954,14187.242394259662
2016,HKG,320837638328.846,43731.1068245299,41.5347722352985,2.40930743862222,3.39000010490417,18150.90350177056
2017,HKG,341244161576.759,46165.8565115953,36.8406960455839,1.49387243939527,3.13000011444092,30903.47963731332
2018,HKG,361691522612.745,48542.6818699161,26.8284572383635,2.40613432046539,2.8199999332428,20174.5519595627
2019,HKG,363016373358.517,48354.473367413,16.0597056698599,2.8832085377399,2.9300000667572,16771.063464357412
2020,HKG,346585881503.635,46323.8634424384,33.8883639002863,0.250962021080809,5.82999992370605,184585.15453030344
2000,IDN,165021012077.81,780.19020467518,-2.75743993350903,3.68861915958351,6.07999992370605,211.51281032853305
